iter	RMSE
0	1.27241733
1	1.245020993
2	1.215737193
3	1.187294795
4	1.161974071
5	1.135540357
6	1.108611245
7	1.085277486
8	1.061645346
9	1.039855487
10	1.016945552
11	0.9940724908
12	0.9728314006
13	0.9531077801
14	0.9367076736
15	0.9191967439
16	0.9010709819
17	0.8820833396
18	0.8639303961
19	0.8465534436
20	0.829935488
21	0.8128648065
22	0.7971461835
23	0.7833127822
24	0.7693970279
25	0.755676134
26	0.742628096
27	0.7301299223
28	0.7162673147
29	0.703213879
30	0.6905215172
31	0.6793919137
32	0.6684517637
33	0.6567625333
34	0.6461360176
35	0.6361318762
36	0.6259023016
37	0.6162902693
38	0.6068810746
39	0.597700993
40	0.5882344133
41	0.579636306
42	0.5714716119
43	0.5632807801
44	0.5552813751
45	0.547754364
46	0.5407517967
47	0.5340166697
48	0.5275126
49	0.5206429573
50	0.5149649645
51	0.5087456426
52	0.5032893252
53	0.4976379293
54	0.4927809343
55	0.487469157
56	0.4828023374
57	0.4780776
58	0.4738788303
59	0.4687236954
60	0.4636825637
61	0.4592917741
62	0.4554630542
63	0.4511828745
64	0.447795265
65	0.4445590209
66	0.4411798348
67	0.436934381
68	0.4340889493
69	0.4305879882
70	0.4278056962
71	0.4244619048
72	0.4216339908
73	0.4184543097
74	0.4160943983
75	0.4134202307
76	0.4110372709
77	0.4081002025
78	0.4062298684
79	0.4047457423
80	0.4024620816
81	0.4006250951
82	0.3986520688
83	0.3965695622
84	0.394539337
85	0.3929609687
86	0.3913603573
87	0.3898265474
88	0.388850923
89	0.3876250129
90	0.3864386043
91	0.3853529533
92	0.3838108539
93	0.3828740343
94	0.3817843151
95	0.3807075427
96	0.3794747972
97	0.3785241339
98	0.377447018
99	0.3767042044
100	0.3754330184
101	0.3744403642
102	0.3731598734
103	0.3718973931
104	0.3705664652
105	0.3695657023
106	0.3682638883
107	0.3674128166
108	0.3668032505
109	0.3656839925
110	0.364583971
111	0.3641537084
112	0.3639255683
113	0.3632387526
114	0.3627017025
115	0.3619366724
116	0.3610429115
117	0.3602747724
118	0.3595186952
119	0.3587644061
120	0.3581474291
121	0.3574860435
122	0.3571023529
123	0.3566524577
124	0.3564020629
125	0.3559696306
126	0.3552721002
127	0.3546003431
128	0.3542457392
129	0.3536538033
130	0.3530269452
131	0.3523386779
132	0.3520619465
133	0.351781088
134	0.3514268155
135	0.3509069587
136	0.3503903765
137	0.3498370622
138	0.3496904766
139	0.3494877997
140	0.3492819005
